STATION,Weekday,AMPM,peakhr
11-Baiyappanahalli,1,AM,12-14hrs
11-Baiyappanahalli,2,AM,9-11hrs
11-Baiyappanahalli,3,AM,9-11hrs
11-Baiyappanahalli,4,AM,9-11hrs
11-Baiyappanahalli,5,AM,9-11hrs
11-Baiyappanahalli,6,AM,9-11hrs
11-Baiyappanahalli,7,AM,9-11hrs
11-Baiyappanahalli,1,PM,18-20hrs
11-Baiyappanahalli,2,PM,18-20hrs
11-Baiyappanahalli,3,PM,18-20hrs
11-Baiyappanahalli,4,PM,18-20hrs
11-Baiyappanahalli,5,PM,18-20hrs
11-Baiyappanahalli,6,PM,18-20hrs
11-Baiyappanahalli,7,PM,16-18hrs
110-Kempegowda,1,AM,12-14hrs
110-Kempegowda,2,AM,8-10hrs
110-Kempegowda,3,AM,9-11hrs
110-Kempegowda,4,AM,9-11hrs
110-Kempegowda,5,AM,9-11hrs
110-Kempegowda,6,AM,10-12hrs
110-Kempegowda,7,AM,10-12hrs
110-Kempegowda,1,PM,17-19hrs
110-Kempegowda,2,PM,18-20hrs
110-Kempegowda,3,PM,18-20hrs
110-Kempegowda,4,PM,18-20hrs
110-Kempegowda,5,PM,19-21hrs
110-Kempegowda,6,PM,18-20hrs
110-Kempegowda,7,PM,18-20hrs
111-Bangalore City Station,1,AM,11-13hrs
111-Bangalore City Station,2,AM,8-10hrs
111-Bangalore City Station,3,AM,9-11hrs
111-Bangalore City Station,4,AM,9-11hrs
111-Bangalore City Station,5,AM,9-11hrs
111-Bangalore City Station,6,AM,9-11hrs
111-Bangalore City Station,7,AM,9-11hrs
111-Bangalore City Station,1,PM,18-20hrs
111-Bangalore City Station,2,PM,18-20hrs
111-Bangalore City Station,3,PM,18-20hrs
111-Bangalore City Station,4,PM,18-20hrs
111-Bangalore City Station,5,PM,18-20hrs
111-Bangalore City Station,6,PM,18-20hrs
111-Bangalore City Station,7,PM,18-20hrs
112-Magadi Road,1,AM,12-14hrs
112-Magadi Road,2,AM,9-11hrs
112-Magadi Road,3,AM,9-11hrs
112-Magadi Road,4,AM,9-11hrs
112-Magadi Road,5,AM,9-11hrs
112-Magadi Road,6,AM,9-11hrs
112-Magadi Road,7,AM,9-11hrs
112-Magadi Road,1,PM,16-18hrs
112-Magadi Road,2,PM,18-20hrs
112-Magadi Road,3,PM,17-19hrs
112-Magadi Road,4,PM,18-20hrs
112-Magadi Road,5,PM,18-20hrs
112-Magadi Road,6,PM,18-20hrs
112-Magadi Road,7,PM,16-18hrs
113-Hosahalli,1,AM,11-13hrs
113-Hosahalli,2,AM,9-11hrs
113-Hosahalli,3,AM,9-11hrs
113-Hosahalli,4,AM,9-11hrs
113-Hosahalli,5,AM,9-11hrs
113-Hosahalli,6,AM,9-11hrs
113-Hosahalli,7,AM,9-11hrs
113-Hosahalli,1,PM,15-17hrs
113-Hosahalli,2,PM,18-20hrs
113-Hosahalli,3,PM,18-20hrs
113-Hosahalli,4,PM,17-19hrs
113-Hosahalli,5,PM,18-20hrs
113-Hosahalli,6,PM,18-20hrs
113-Hosahalli,7,PM,17-19hrs
114-Vijayanagar,1,AM,12-14hrs
114-Vijayanagar,2,AM,9-11hrs
114-Vijayanagar,3,AM,9-11hrs
114-Vijayanagar,4,AM,9-11hrs
114-Vijayanagar,5,AM,9-11hrs
114-Vijayanagar,6,AM,9-11hrs
114-Vijayanagar,7,AM,9-11hrs
114-Vijayanagar,1,PM,17-19hrs
114-Vijayanagar,2,PM,17-19hrs
114-Vijayanagar,3,PM,18-20hrs
114-Vijayanagar,4,PM,18-20hrs
114-Vijayanagar,5,PM,18-20hrs
114-Vijayanagar,6,PM,18-20hrs
114-Vijayanagar,7,PM,18-20hrs
115-Attiguppe,1,AM,12-14hrs
115-Attiguppe,2,AM,9-11hrs
115-Attiguppe,3,AM,9-11hrs
